Timestamp(ms),Current(uA)
0,24076.881
10,8861.842
20,3261.741
30,1200.549
40,441.897
50,162.667
60,59.897
70,22.068
80,8.143
90,3.015
100,1.126
110,0.430
120,0.173
130,0.080
140,0.046
150,0.035
160,0.031
170,0.028
180,0.032
190,0.031
200,0.029
210,0.027
220,0.027
230,0.028
240,0.027
250,0.030
260,0.029
270,0.028
280,0.027
290,0.027
300,0.027
310,0.025
320,0.024
330,0.022
340,0.019
350,0.020
360,0.021
370,0.019
380,0.020
390,0.020
400,0.018
410,0.017
420,0.020
430,0.019
440,0.020
450,0.018
460,0.018
470,0.017
480,0.018
490,0.017
500,0.013
510,0.012
520,0.011
530,0.013
540,0.013
550,0.011
560,0.013
570,0.012
580,0.012
590,0.014
600,0.012
610,0.014
620,0.011
630,0.010
640,0.011
650,0.010
660,0.009
670,0.008
680,0.008
690,0.009
700,0.008
710,0.007
720,0.007
730,0.007
740,0.008
750,0.005
760,0.005
770,0.004
780,0.004
790,0.004
800,0.005
810,0.005
820,0.004
830,0.006
840,0.006
850,0.005
860,0.006
870,0.004
880,0.004
890,0.003
900,0.004
910,0.005
920,0.005
930,0.004
940,0.004
950,0.004
960,0.005
970,0.004
980,0.004
990,0.004
1000,0.002
1010,0.002
1020,0.004
1030,0.004
1040,0.003
1050,0.003
1060,0.003
1070,0.003
1080,0.003
1090,0.003
1100,0.005
1110,0.004
1120,0.003
1130,0.002
1140,0.003
1150,0.004
1160,0.003
1170,0.002
1180,0.002
1190,0.003
1200,0.003
1210,0.004
1220,0.003
1230,0.003
1240,0.003
1250,0.004
1260,0.003
1270,0.003
1280,0.003
1290,0.003
1300,0.004
1310,0.003
1320,0.003
1330,0.004
1340,0.005
1350,0.004
1360,0.004
1370,0.004
1380,0.005
1390,0.005
1400,0.004
1410,0.004
1420,0.004
1430,0.004
1440,0.006
1450,0.004
1460,0.005
1470,0.004
1480,0.006
1490,0.006
1500,0.004
1510,0.004
1520,0.005
1530,0.005
1540,0.005
1550,0.005
1560,0.005
1570,0.004
1580,0.005
1590,0.004
1600,0.005
1610,0.005
1620,0.005
1630,0.007
1640,0.005
1650,0.006
1660,0.006
1670,0.006
1680,0.006
1690,0.006
1700,0.007
1710,0.008
1720,0.007
1730,0.006
1740,0.007
1750,0.007
1760,0.006
1770,0.005
1780,0.007
1790,0.006
1800,0.007
1810,0.006
1820,0.007
1830,0.007
1840,0.006
1850,0.007
1860,0.007
1870,0.005
1880,0.006
1890,0.007
1900,0.006
1910,0.006
1920,0.009
1930,0.007
1940,0.008
1950,0.009
1960,0.008
1970,0.006
1980,0.006
1990,0.006
2000,0.006
2010,0.006
2020,0.005
2030,0.005
2040,0.007
2050,0.007
2060,0.006
2070,0.007
2080,0.008
2090,0.010
2100,0.010
2110,0.009
2120,0.009
2130,0.007
2140,0.008
2150,0.009
2160,0.010
2170,0.008
2180,0.010
2190,0.011
2200,0.009
2210,0.008
2220,0.008
2230,0.008
2240,0.009
2250,0.008
2260,0.009
2270,0.007
2280,0.007
2290,0.010
2300,0.010
2310,0.011
2320,0.010
2330,0.009
2340,0.010
2350,0.012
2360,0.013
2370,0.011
2380,0.011
2390,0.013
2400,0.010
2410,0.008
2420,0.010
2430,0.011
2440,0.013
2450,0.012
2460,0.010
2470,0.008
2480,0.008
2490,0.008
2500,0.007
2510,0.008
2520,0.008
2530,0.007
2540,0.008
2550,0.008
2560,0.007
2570,0.007
2580,0.009
2590,0.009
2600,0.010
2610,0.008
2620,0.008
2630,0.008
2640,0.008
2650,0.008
2660,0.008
2670,0.009
2680,0.009
2690,0.006
2700,0.008
2710,0.011
2720,0.009
2730,0.010
2740,0.007
2750,0.008
2760,0.009
2770,0.010
2780,0.010
2790,84812.617
2800,46289.430
2810,32168.377
2820,31951.371
2830,38655.391
2840,40949.172
2850,41697.766
2860,42145.203
2870,42316.559
2880,42415.742
2890,42473.105
2900,42501.352
2910,42531.129
2920,42537.938
2930,42586.188
2940,42625.031
2950,42590.703
2960,42396.602
2970,43045.699
2980,53242.695
2990,66163.141
3000,71363.320
3010,58810.531
3020,56174.098
3030,55269.676
3040,54941.383
3050,54841.988
3060,54816.313
3070,54825.398
3080,54845.258
3090,54903.000
3100,54928.809
3110,54964.148
3120,55010.094
3130,55039.063
3140,55069.004
3150,55094.066
3160,55111.203
3170,55139.137
3180,55145.512
3190,55164.227
3200,55195.602
3210,55211.707
3220,55240.125
3230,55271.813
3240,55301.574
3250,55331.387
3260,55382.297
3270,55383.965
3280,55397.363
3290,55403.352
3300,55420.996
3310,55425.367
3320,55464.773
3330,55476.633
3340,55476.418
3350,55489.227
3360,55493.297
3370,55531.973
3380,55541.668
3390,55567.859
3400,55587.238
3410,55589.848
3420,55609.223
3430,55622.043
3440,55640.125
3450,55662.262
3460,55675.211
3470,55688.934
3480,55388.766
3490,55232.152
3500,55180.207
3510,55127.203
3520,48122.340
3530,45334.070
3540,44293.914
3550,43908.023
3560,43779.289
3570,43711.953
3580,43683.523
3590,43690.410
3600,43693.113
3610,43670.313
3620,43510.727
3630,43276.941
3640,43170.227
3650,43132.875
3660,43091.441
3670,43100.145
3680,43077.219
3690,43078.539
3700,43071.129
3710,43063.691
3720,62118.141
3730,71182.281
3740,74005.641
3750,73630.383
3760,73985.672
3770,78809.344
3780,82131.227
3790,83286.531
3800,82870.141
3810,82783.898
3820,83047.242
3830,84461.867
3840,84584.844
3850,82640.055
3860,81186.273
3870,75260.438
3880,64390.582
3890,51634.391
3900,46117.348
3910,44078.070
3920,43329.375
3930,43064.727
3940,42941.637
3950,42893.164
3960,42872.633
3970,42872.074
3980,42870.676
3990,42865.574
4000,44914.098
4010,44561.797
4020,44977.344
4030,45137.215
4040,43786.664
4050,45003.516
4060,44174.938
4070,43406.605
4080,43126.934
4090,43019.461
4100,42972.629
4110,42969.688
4120,42953.539
4130,42924.633
4140,42916.516
4150,42910.887
4160,42895.465
4170,42901.031
4180,45051.047
4190,45921.879
4200,44199.277
4210,45308.961
4220,43884.496
4230,43339.328
4240,43121.031
4250,43038.531
4260,43012.246
4270,42990.887
4280,42986.781
4290,42987.113
4300,42975.848
4310,42961.215
4320,42965.492
4330,42970.164
4340,43152.715
4350,43026.316
4360,42970.070
4370,42969.336
4380,42957.039
4390,42960.910
4400,42947.086
4410,42910.242
4420,42920.844
4430,42914.668
4440,42904.320
4450,42897.996
4460,43159.676
4470,43006.797
4480,42925.465
4490,42905.242
4500,42883.758
4510,42897.473
4520,42887.273
4530,42866.422
4540,42861.840
4550,42869.004
4560,42847.992
4570,42859.781
4580,44625.336
4590,43616.926
4600,43115.105
4610,42948.152
4620,42869.121
4630,42840.996
4640,42832.852
4650,42827.820
4660,42828.340
4670,42815.734
4680,42821.465
4690,42809.453
4700,42808.035
4710,42961.250
4720,42871.898
4730,42829.711
4740,42804.496
4750,42787.816
4760,42778.844
4770,42778.898
4780,42783.570
4790,42784.422
4800,42777.102
4810,42770.879
4820,42782.066
4830,44069.926
4840,44899.637
4850,45206.926
4860,45338.715
4870,45374.527
4880,45396.398
4890,45390.754
4900,45396.668
4910,45402.750
4920,45392.379
4930,45363.520
4940,45383.066
4950,46714.266
4960,46210.063
4970,45699.313
4980,45508.063
