Timestamp(ms),Current(uA)
0,1476.062
10,543.306
20,199.994
30,73.636
40,27.130
50,10.007
60,3.709
70,1.389
80,0.533
90,0.219
100,0.102
110,0.059
120,0.044
130,0.034
140,0.032
150,0.033
160,0.034
170,0.034
180,0.037
190,0.030
200,0.030
210,0.031
220,0.038
230,0.034
240,0.037
250,0.037
260,0.038
270,0.034
280,0.030
290,0.032
300,0.028
310,0.032
320,0.030
330,0.027
340,0.032
350,0.034
360,0.031
370,0.027
380,0.028
390,0.030
400,0.032
410,0.029
420,0.027
430,0.028
440,0.028
450,0.024
460,0.022
470,0.021
480,0.021
490,0.020
500,0.019
510,0.017
520,0.018
530,0.017
540,0.013
550,0.014
560,120523.078
570,57804.250
580,36534.551
590,27947.088
600,36567.012
610,40283.875
620,41489.438
630,42033.742
640,42323.934
650,42443.461
660,42506.063
670,42535.066
680,42567.598
690,42577.707
700,42611.063
710,42653.512
720,42639.035
730,42569.930
740,42755.875
750,46619.938
760,61940.012
770,69593.023
780,65015.590
790,56841.137
800,55490.734
810,55023.961
820,54844.449
830,54796.801
840,54796.742
850,54818.949
860,54883.320
870,54901.289
880,54946.281
890,54980.055
900,55027.324
910,55042.977
920,55062.156
930,55073.938
940,55097.332
950,55136.359
960,55149.512
970,55174.555
980,55186.730
990,55192.855
1000,55214.902
1010,55242.000
1020,55252.977
1030,55277.938
1040,55284.324
1050,55314.457
1060,55339.039
1070,55354.680
1080,55349.105
1090,55373.957
1100,55408.035
1110,55417.703
1120,55437.293
1130,55454.574
1140,55474.191
1150,55478.699
1160,55491.520
1170,55531.582
1180,55531.773
1190,55550.441
1200,55552.793
1210,55554.047
1220,55572.313
1230,55597.965
1240,55620.645
1250,55634.949
1260,55658.137
1270,55437.605
1280,55217.434
1290,50508.016
1300,46177.523
1310,44590.391
1320,43988.867
1330,43784.523
1340,43716.250
1350,43677.242
1360,43672.063
1370,43652.859
1380,43655.680
1390,43705.180
1400,43362.035
1410,43224.684
1420,43158.867
1430,43121.449
1440,43115.695
1450,43097.016
1460,43104.961
1470,43109.668
1480,43113.441
1490,54111.449
1500,67936.836
1510,72725.336
1520,73843.461
1530,73743.320
1540,75915.641
1550,80850.617
1560,82860.828
1570,82007.297
1580,82609.523
1590,82223.273
1600,83402.734
1610,84363.281
1620,84093.047
1630,81393.008
1640,79515.688
1650,71699.813
1660,57597.957
1670,48263.938
1680,44935.656
1690,43680.219
1700,43203.742
1710,43026.910
1720,42993.195
1730,42955.602
1740,42928.867
1750,42921.516
1760,42904.227
1770,42911.570
1780,45486.906
1790,46716.332
1800,46162.316
1810,44563.473
1820,46277.516
1830,45060.305
1840,43859.133
1850,43348.172
1860,43128.969
1870,43065.441
1880,43009.730
1890,43010.242
1900,42999.367
1910,42982.277
1920,42966.609
1930,42973.703
1940,42960.543
1950,42959.051
1960,44467.813
1970,45177.672
1980,43876.008
1990,44682.371
2000,43652.043
2010,43271.758
2020,43141.605
2030,43085.902
2040,43055.883
2050,43047.156
2060,43058.082
2070,43041.898
2080,43010.652
2090,43016.422
2100,43010.848
2110,43313.742
2120,43110.125
2130,43031.250
2140,42996.855
2150,43003.078
2160,42973.133
2170,42986.848
2180,42980.891
2190,42965.102
2200,42949.566
2210,42940.516
2220,42955.543
2230,42943.188
2240,43104.730
2250,43012.316
2260,42969.359
2270,42941.520
2280,42938.520
2290,42906.180
2300,42927.852
2310,42924.895
2320,42918.555
2330,42909.785
2340,42919.898
2350,42898.094
2360,44353.922
2370,43433.688
2380,43085.031
2390,42963.746
2400,42913.145
2410,42904.648
2420,42879.590
2430,42864.453
2440,42861.875
2450,42849.785
2460,42875.934
2470,42875.008
2480,43132.090
2490,42965.633
2500,42899.883
2510,42872.766
2520,42860.676
2530,42833.816
2540,42818.926
2550,42813.203
2560,42822.207
2570,42819.441
2580,42825.750
2590,42812.574
2600,42814.855
2610,44548.594
2620,45143.637
2630,45368.129
2640,45450.539
2650,45458.574
2660,45467.250
2670,45465.621
2680,45456.820
2690,45457.988
2700,45467.863
2710,45463.973
2720,45463.645
2730,46986.605
2740,46019.496
2750,45660.773
2760,45504.535
2770,45446.047
2780,45436.293
2790,45420.527
2800,45424.816
2810,45432.387
2820,45433.988
2830,45428.746
2840,45429.602
2850,45716.043
2860,45557.750
2870,45469.227
2880,45432.383
2890,45434.359
2900,45416.473
2910,45408.270
2920,45405.707
2930,45394.398
2940,45399.840
2950,45421.551
2960,45409.387
2970,45401.973
2980,53836.883
2990,57131.352
3000,58563.617
3010,54165.227
3020,48572.633
3030,46575.219
3040,45838.559
3050,45547.250
3060,45452.137
3070,45417.555
3080,45411.453
3090,45404.777
3100,45412.363
3110,45401.871
3120,45403.719
3130,45400.082
3140,45522.609
3150,45442.156
3160,45411.871
3170,45413.605
3180,45404.398
3190,45404.824
3200,45408.594
3210,45401.102
3220,45399.723
3230,45412.172
3240,45401.762
3250,45395.410
3260,46873.816
3270,45926.516
3280,45593.148
3290,45466.824
3300,45400.645
3310,45396.598
3320,45379.270
3330,45381.000
3340,45358.672
3350,45360.016
3360,45362.629
3370,45346.617
3380,45681.336
3390,45493.109
3400,45413.207
3410,45373.996
3420,45341.684
3430,45343.871
3440,45335.148
3450,45356.602
3460,45326.613
3470,45339.211
3480,45344.316
3490,45343.664
3500,45345.430
3510,54149.285
3520,57256.168
3530,58594.230
3540,53246.633
3550,48215.082
3560,46391.926
3570,45723.375
3580,45472.551
3590,45380.945
3600,45362.879
3610,45342.379
3620,45328.152
3630,45328.141
3640,45328.516
3650,45339.996
3660,45714.191
3670,45491.938
3680,45400.223
3690,45342.785
3700,45327.684
3710,45326.691
3720,45322.781
3730,45348.668
3740,45355.938
3750,45362.793
3760,45358.723
3770,45362.855
3780,45352.113
3790,46511.555
3800,45769.578
3810,45509.281
3820,45413.520
3830,45371.164
3840,45363.066
3850,45344.645
3860,45326.266
3870,45338.207
3880,45341.145
3890,45346.973
3900,45331.617
3910,45597.129
3920,45419.539
3930,45367.809
3940,45362.719
3950,45360.246
3960,45334.668
3970,45359.969
3980,45362.684
3990,45357.563
4000,45357.023
